일련번호,조사서번호,사망자수,부상자수,인명피해수,재산피해금액,상급기관명,소방서명,서센터명,소방지역대명,화재발생일자,화재발생시간,접수일자,접수시각,위치정보X,위치정보Y,출동일자,출동시각,현장도착일자,현장도착시각,초진일자,초진시각,완진일자,완진시간,귀소일자,귀소시각,출동소요시간,화재진압시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,시도명,시군구명,읍면동명,읍면동구분명,번지,도로명,시설장소대분류명,시설장소중분류명,시설장소소분류명,화재유형명,발화지점,발화원인,발화열원명,발화요인소분류명,발화요인대분류명,발화열원소분류명,최초착화물대분류명,최초착화물소분류명,연소확대물대분류명,연소확대물소분류명,발생원인,전체인력수합계,동원소방력수,동원의용소방력수,동원경찰수,동원일반직수,동원군인수,동원전기가스유관기관수,기타동원명수,동원장비수,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용
17,1.6013E+14,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20160130,111600,20160130,111656,,,20160130,111803,20160130,112727,20160130,14439,20160130,154139,20160130,155539,924,41412,47,16,7,강원도,화천군,상서면,,70,산양길146,임야,산불,국유림,임야,산중턱,군경사격장,폭발물/폭죽,폭탄/탄약,화학적요인,화학적폭발,종이/목재/건초등,풀/나뭇잎,,,,123,5,10,0,10,80,18,0,12,맑음,0,0,,,
18,1.60131E+14,0,0,0,0,강원소방본부,영월소방서,주천119안전센터,,20160131,130600,20160131,130631,,,20160131,130709,20160131,133507,20160131,15722,20160131,142746,20160131,160000,2758,5239,60,23,0,강원도,영월군,수주면,,226-1,,임야,산불,사유림,임야,산아래,기타,마찰/전도/복사,마찰열/마찰스파크,부주의,부주의,종이/목재/건초등,풀/나뭇잎,,,가연성물질의급격한연소/원거리소방서,63,13,8,4,2,0,8,28,15,맑음,0,0,,,
19,1.60201E+14,0,0,0,0,강원소방본부,원주소방서,신림119안전센터,,20160201,143000,20160201,143018,,,20160201,143711,20160201,144810,20160201,25637,20160201,150436,20160201,160053,1059,1626,29,6,0,강원도,원주시,신림면,,,,임야,산불,국유림,임야,산정상,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,40,10,0,0,0,0,30,0,9,맑음,0,0,,,
20,1.60201E+14,0,0,0,0,강원소방본부,홍천소방서,서석119안전센터,내촌119지역대,20160201,174200,20160201,174249,,,20160201,174343,20160201,175031,20160201,70658,20160201,193500,20160201,213402,648,14429,28,23,3,강원도,홍천군,내촌면,,산1-2,아홉사리로981-11,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,143,18,65,8,28,0,24,0,15,맑음,0,0,,,
21,1.60203E+14,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20160203,143800,20160203,143800,,,20160203,143900,20160203,150207,20160203,33526,20160203,182104,20160204,110007,2307,31857,20,12,0,강원도,철원군,동송읍,,75,담터길300,임야,산불,국유림,임야,산아래,군경사격장,불꽃/불티,불꽃/불티,부주의,부주의,종이/목재/건초등,건초,,,,157,30,39,4,40,0,40,4,11,맑음,2,0,0,4,
22,1.60204E+14,0,0,0,0,강원소방본부,원주소방서,문막119안전센터,,20160204,111900,20160204,111929,,,20160204,112051,20160204,113610,20160204,120903,20160204,122312,20160204,130021,1519,4702,26,8,0,강원도,원주시,문막읍,,,,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),75,15,20,10,0,0,30,0,10,맑음,2,30,225,4,
23,1.60204E+14,0,0,0,0,강원소방본부,춘천소방서,후평119안전센터,,20160204,133500,20160204,133548,,,20160204,133742,20160204,134249,20160204,22018,20160204,144700,20160204,155931,507,10411,3,7,0,강원도,춘천시,동면,,,노루목길30,임야,산불,사유림,임야,산아래,논/밭두렁,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,건초,,,,103,24,0,15,50,0,14,0,9,구름조금,5,29,225,4,
24,1.60205E+14,0,0,0,0,강원소방본부,춘천소방서,사내119안전센터,,20160205,135400,20160205,135405,,,20160205,135505,20160205,140601,20160206,84001,20160206,900301,20160206,93001,1056,185700,48,7,0,강원도,화천군,사내면,,1034,,임야,산불,국유림,임야,산중턱,군경사격장,폭발물/폭죽,폭탄/탄약,부주의,불씨/불꽃/화원방치,종이/목재/건초등,건초,위험물등,폭발물질,기타,585,19,58,20,20,462,6,0,12,흐림,-1,34,225,,한파주의보
25,1.60205E+14,0,0,0,586,강원소방본부,횡성소방서,우천119안전센터,,20160205,155300,20160205,155349,,,20160205,155444,20160205,161136,20160205,50642,20160205,175043,20160205,180612,1652,13907,31,11,0,강원도,횡성군,우천면,,42,,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,잔디,기상(건조/강풍등)/원거리소방서,185,10,45,10,100,0,20,0,13,구름조금,3,26,180,4,
26,1.60208E+14,0,0,0,0,강원소방본부,횡성소방서,횡성119안전센터,,20160208,131900,20160208,131908,,,20160208,131947,20160208,133356,20160208,31025,20160208,154531,20160208,162841,1409,21135,14,14,0,강원도,횡성군,횡성읍,,,,임야,산불,사유림,임야,평지,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,종이/목재/건초등,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),222,20,7,11,120,0,14,50,10,맑음,0,60,225,4,대설주의보
27,1.6021E+14,0,0,0,910,강원소방본부,춘천소방서,신북119안전센터,,20160210,132600,20160210,132646,,,20160210,132955,20160210,135953,20160210,22039,20160210,142209,20160210,151135,2958,2216,30,25,0,강원도,춘천시,북산면,,668-2,오봉산길654,임야,산불,사유림,임야,산중턱,입산자실화,담뱃불/라이터불,촛불,부주의,불씨/불꽃/화원방치,침구/직물류,베개/시트,,,,110,0,55,5,10,0,40,0,15,맑음,6,28,135,4,
28,1.60219E+14,0,0,0,617,강원소방본부,동해소방서,묵호119안전센터,,20160218,232000,20160218,232005,,,20160218,232120,20160218,233310,20160219,12210,20160219,22410,20160219,33610,1150,25100,7,3,0,강원도,동해시,발한동,,산17,발한로324,임야,산불,사유림,임야,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이/목재/건초등,,,,504,45,30,30,350,0,49,0,21,맑음,8,41,225,4,
29,1.60221E+14,0,0,0,0,강원소방본부,정선소방서,신동119안전센터,,20160221,90600,20160221,90602,,,20160221,90735,20160221,91414,20160221,104614,20160221,112514,20160221,124314,639,21100,39,6,30,강원도,정선군,신동읍,,,,임야,산불,사유림,임야,산아래,기타,작동기기,전기적아크,전기적요인,절연열화에의한단락,전기/전자,전선피복,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소,155,10,30,15,12,0,88,0,16,맑음,-1,30,180,4,
30,1.60221E+14,0,0,0,0,강원소방본부,정선소방서,사북119안전센터,남면119지역대,20160221,151500,20160221,151557,,,20160221,151711,20160221,153251,20160221,43851,20160221,172051,20160221,182751,1540,14800,27,10,11,강원도,정선군,남면,,311,,임야,산불,사유림,임야,산아래,기타,불꽃/불티,굴뚝아궁이,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소/원거리소방서,112,9,22,15,15,0,46,5,12,맑음,-4,63,135,4,
31,1.60223E+14,0,0,0,0,강원소방본부,인제소방서,원통119안전센터,,20160223,133300,20160223,133304,,,20160223,133304,20160223,140138,20160223,21007,20160223,151044,20160223,164304,2834,10906,29,20,0,강원도,인제군,북면,,255,매봉길78,임야,산불,국유림,임야,산중턱,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,103,9,14,10,10,20,40,0,10,구름조금,3,27,315,4,
32,1.60223E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20160223,135100,20160223,135103,,,20160223,135144,20160223,140121,20160223,24735,20160223,150322,20160223,152434,937,10201,57,7,10,강원도,양구군,양구읍,,27,금강산로956번길84-32,임야,산불,국유림,임야,산아래,군경사격장,폭발물/폭죽,폭탄/탄약,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,122,5,10,0,40,24,43,0,6,흐림,5,28,270,8,건조주의보
33,1.60223E+14,0,0,0,0,강원소방본부,춘천소방서,사내119안전센터,,20160223,174100,20160223,174154,,,20160223,174353,20160223,182906,20160223,71006,20160223,191706,20160223,194306,4513,4800,49,9,0,강원도,화천군,사내면,,산3,,임야,산불,국유림,임야,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기타,35,5,10,2,18,0,0,0,7,흐림,-4,65,315,4,
34,1.60226E+14,0,0,0,550,강원소방본부,춘천소방서,소양119안전센터,,20160226,143000,20160226,143014,,,20160226,143109,20160226,143814,20160226,25539,20160226,145919,20160226,153454,705,2105,10,4,0,강원도,춘천시,동내면,,98,,임야,산불,사유림,임야,평지,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소/기상(건조/강풍등),60,15,10,0,10,0,0,25,8,맑음,7,22,225,4,
35,1.60226E+14,0,0,0,0,강원소방본부,영월소방서,중동119안전센터,상동119지역대,20160226,153600,20160226,153638,,,20160226,153904,20160226,155522,20160226,42257,20160226,165040,20160226,174554,1618,5518,32,10,12,강원도,영월군,상동읍,,586-1,구름재길125,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,건초,종이/목재/건초등,풀/나뭇잎,원거리소방서,90,8,40,7,0,0,35,0,8,구름조금,6,0,270,8,
36,1.60302E+14,0,0,0,0,강원소방본부,강릉소방서,내곡119안전센터,,20160302,175800,20160302,175831,,,20160302,175937,20160302,180825,20160302,64134,20160302,184605,20160302,192305,848,3740,11,9,0,강원도,강릉시,성산면,,219-1,,임야,산불,사유림,임야,산아래,기타,불꽃/불티,굴뚝아궁이,부주의,부주의,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,원거리소방서,158,24,30,4,55,10,15,20,21,맑음,6,49,225,4,
37,1.60304E+14,0,0,0,0,강원소방본부,춘천소방서,신북119안전센터,,20160304,133200,20160304,133219,,,20160304,133457,20160304,135305,20160304,20527,20160304,141010,20160304,145815,1808,1705,28,25,12,강원도,춘천시,북산면,,산70,공골길93-10,임야,산불,사유림,임야,산아래,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,83,13,30,5,10,0,0,25,6,맑음,0,0,,,
38,1.60304E+14,0,0,0,0,강원소방본부,철원소방서,태봉119안전센터,,20160304,171900,20160304,171900,,,20160304,172005,20160304,181845,20160304,64047,20160304,191951,20160304,205027,5840,10106,22,18,0,강원도,철원군,갈말읍,,322-1,태봉로1182-96,임야,산불,국유림,임야,산중턱,미상,자연적발화열,햇볕,자연적인요인,돋보기효과,종이/목재/건초등,건초,,,,53,11,0,0,30,0,12,0,6,맑음,18,26,270,4,
39,1.60306E+14,0,0,0,0,강원소방본부,정선소방서,사북119안전센터,남면119지역대,20160306,152800,20160306,152843,,,20160306,153124,20160306,154135,20160306,35954,20160306,163912,20160306,174700,1011,5737,15,15,6,강원도,정선군,남면,,333-1,칠현로460,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,화재인지/신고지연,113,11,20,12,30,0,30,10,13,구름조금,13,24,225,4,
40,1.60312E+14,0,0,0,26,강원소방본부,춘천소방서,신북119안전센터,,20160312,181200,20160312,181204,,,20160312,181204,20160312,182152,20160312,71025,20160312,192202,20160312,193704,948,10010,7,3,0,강원도,춘천시,신북읍,,484-11,사랑말2길1-38,임야,산불,국유림,임야,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,51,14,17,5,0,0,15,0,6,맑음,5,56,315,4,
41,1.60316E+14,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20160315,170700,20160315,170727,,,20160315,170834,20160315,172334,20160315,55134,20160315,180834,20160315,183334,1500,4500,50,14,6,강원도,화천군,상서면,,39,부촌리길29,임야,산불,사유림,임야,산중턱,미상,미상,미상,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,63,6,10,5,10,0,32,0,15,맑음,0,0,,,
42,1.60316E+14,0,0,0,0,강원소방본부,영월소방서,영월119안전센터,북면119지역대,20160316,112500,20160316,112534,,,20160316,112707,20160316,113950,20160316,121556,20160316,123613,20160316,140343,1243,5623,4,4,11,강원도,영월군,북면,,225-2,,임야,산불,사유림,임야,산중턱,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등)/원거리소방서,92,8,4,7,25,0,48,0,12,맑음,10,26,270,4,
43,1.60316E+14,0,0,0,0,강원소방본부,횡성소방서,우천119안전센터,,20160316,131300,20160316,131302,,,20160316,131432,20160316,131811,20160316,15449,20160316,140515,20160316,141120,339,4704,14,1,0,강원도,횡성군,우천면,,257-4,,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,쓰레기류,쓰레기,종이/목재/건초등,풀/나뭇잎,,64,7,15,0,23,0,19,0,6,맑음,0,0,,,
44,1.60317E+14,0,0,0,0,강원소방본부,고성소방서,동광119안전센터,,20160316,170500,20160316,170530,,,20160316,170703,20160316,174025,20160316,54139,20160316,174249,20160316,175607,3322,224,12,12,0,강원도,고성군,죽왕면,,산127-9,구둔길176,임야,산불,공유림,임야,산중턱,미상,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,66,12,0,2,2,40,10,0,10,맑음,17,16,315,4,건조주의보
45,1.60317E+14,0,0,0,0,강원소방본부,강릉소방서,내곡119안전센터,,20160317,121500,20160317,121552,,,20160317,121718,20160317,122603,20160317,125013,20160317,125613,20160317,141002,845,3010,8,6,0,강원도,강릉시,성산면,,330-4,,임야,산불,사유림,임야,산아래,논/밭두렁,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,건초,기상(건조/강풍등),260,30,20,24,120,0,46,20,37,맑음,18,21,90,4,건조주의보
46,1.60317E+14,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20160317,134200,20160317,134224,,,20160317,134319,20160317,135446,20160317,21519,20160317,142452,20160317,153851,1127,3006,11,10,0,강원도,철원군,동송읍,,산43,,임야,산불,국유림,임야,산아래,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,건초,,,,42,12,0,0,10,20,0,0,6,맑음,14,0,45,4,
47,1.60318E+14,0,0,0,990,강원소방본부,춘천소방서,석사119안전센터,,20160318,133900,20160318,133905,,,20160318,134039,20160318,135853,20160318,23344,20160318,144255,20160318,152827,1814,4402,15,7,0,강원도,춘천시,동산면,,,관거리길42-262,임야,산불,사유림,임야,평지,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,115,12,12,8,8,0,75,0,7,맑음,0,0,,,
48,1.60323E+14,0,0,0,0,강원소방본부,원주소방서,우산119안전센터,,20160323,162200,20160323,162234,,,20160323,162506,20160323,163707,20160323,44025,20160323,164357,20160323,180013,1201,650,20,8,0,강원도,원주시,호저면,,4,,임야,산불,국유림,임야,평지,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,66,11,0,0,15,0,40,0,6,흐림,13,38,0,4,
49,1.60324E+14,0,0,0,0,강원소방본부,원주소방서,태장119안전센터,소초119지역대,20160324,125800,20160324,125819,,,20160324,125921,20160324,131104,20160324,11553,20160324,132453,20160324,135953,1143,1349,20,13,8,강원도,원주시,소초면,,182,,임야,산불,사유림,임야,산중턱,담뱃불,담뱃불/라이터불,라이터불/성냥불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,18,6,0,2,10,0,0,0,4,맑음,0,0,,,
50,1.60327E+14,0,0,0,0,강원소방본부,춘천소방서,사내119안전센터,,20160327,113500,20160327,113552,,,20160327,113646,20160327,115641,20160327,122553,20160327,122553,20160327,133108,1955,2912,56,11,0,강원도,화천군,사내면,,920,하오재로342-17,임야,산불,사유림,임야,산아래,쓰레기소각장,담뱃불/라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,55,4,25,4,10,0,0,12,6,맑음,12,16,315,4,
51,1.60328E+14,0,0,0,0,강원소방본부,철원소방서,김화119안전센터,,20160328,125500,20160328,125552,,,20160328,125844,20160328,130749,20160328,30049,20160328,183949,20160328,193549,905,53200,8,8,0,강원도,철원군,김화읍,,산33,김화로102,임야,산불,사유림,임야,산중턱,미상,담뱃불/라이터불,라이터불/성냥불,부주의,불씨/불꽃/화원방치,종이/목재/건초등,건초,,,,299,40,66,15,40,120,18,0,15,맑음,16,23,45,,
52,1.60328E+14,0,1,1,0,강원소방본부,원주소방서,신림119안전센터,,20160328,182100,20160328,182148,,,20160328,182354,20160328,183145,20160328,63916,20160328,185308,20160328,194617,751,2123,22,4,0,강원도,원주시,신림면,,112-2,,임야,산불,사유림,임야,평지,쓰레기소각장,담뱃불/라이터불,라이터불/성냥불,부주의,쓰레기소각,종이/목재/건초등,잔디,,,,68,8,5,0,20,0,5,30,8,맑음,13,0,315,4,
53,1.60329E+14,0,0,0,0,강원소방본부,철원소방서,김화119안전센터,,20160329,105700,20160329,105758,,,20160329,110040,20160329,111613,20160329,123213,20160329,123213,20160329,145814,1533,11600,8,8,0,강원도,철원군,김화읍,,산33,김화로102,임야,산불,사유림,임야,산정상,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,건초,,,,123,11,12,0,40,60,0,0,9,맑음,17,37,45,4,
54,1.60329E+14,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20160329,135400,20160329,135422,,,20160329,135622,20160329,141122,20160329,22022,20160329,143122,20160329,161122,1500,2000,12,12,0,강원도,철원군,동송읍,,산31,양지2길38,임야,산불,국유림,임야,산아래,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,건초,,,,58,12,8,0,20,18,0,0,10,맑음,17,37,45,4,
55,1.60401E+14,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20160331,91300,20160331,91319,,,20160331,91456,20160331,93348,20160331,100859,20160331,180931,20160331,210056,1852,83543,32,12,22,강원도,화천군,하남면,,,,임야,산불,국유림,임야,산정상,군경사격장,마찰/전도/복사,화염전도/복사열,부주의,불씨/불꽃/화원방치,기타,기타,,,,80,4,23,5,15,0,33,0,13,맑음,0,0,,,
56,1.60331E+14,0,0,0,0,강원소방본부,춘천소방서,사내119안전센터,,20160331,124300,20160331,124313,,,20160331,124513,20160331,125813,20160331,22413,20160331,151313,20160331,154613,1300,21500,46,6,0,강원도,화천군,사내면,,,박달로393-24,임야,산불,사유림,임야,산아래,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,건초,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),442,6,43,4,89,300,0,0,7,구름조금,17,12,270,4,
57,1.60401E+14,0,0,0,44,강원소방본부,평창소방서,진부119안전센터,,20160401,111400,20160401,111404,,,20160401,111530,20160401,112450,20160401,120534,20160401,125615,20160401,142843,920,13125,30,2,0,강원도,평창군,진부면,,277,,임야,산불,국유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,72,8,45,2,17,0,0,0,6,맑음,18,23,90,4,
58,1.60401E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20160401,124300,20160401,124339,,,20160401,124439,20160401,125311,20160401,50012,20160401,211234,20160401,214015,832,81923,50,6,2,강원도,양구군,남면,,288,정중앙로552,임야,산불,사유림,임야,산정상,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,953,12,100,70,250,380,20,121,18,맑음,24,18,135,4,
59,1.60401E+14,0,0,0,3445,강원소방본부,철원소방서,동송119안전센터,,20160401,141000,20160401,141031,,,20160401,141220,20160401,143210,20160401,52254,20160402,160454,20160402,223354,1950,13244,28,13,0,강원도,철원군,철원읍,,299,율이로452-26,임야,산불,사유림,임야,산아래,기타,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,건초,,,,271,40,72,4,125,20,10,0,30,맑음,22,10,45,,
60,1.60401E+14,0,0,0,1518,강원소방본부,횡성소방서,횡성119안전센터,,20160401,163900,20160401,163921,,,20160401,164034,20160401,165026,20160401,51755,20160401,173244,20160401,182622,952,4218,5,5,0,강원도,횡성군,횡성읍,,,갈풍1길28,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,93,25,18,0,40,0,0,10,7,맑음,18,45,180,4,
61,1.60401E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20160401,215800,20160401,215858,,,20160401,220158,20160401,222111,20160401,102750,20160401,223535,20160401,232011,1913,1424,52,6,8,강원도,양구군,남면,,47,정중앙로452번길74,임야,산불,사유림,임야,산중턱,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,28,4,0,0,20,0,0,4,3,맑음,0,0,,,
62,1.60402E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20160402,45300,20160402,45305,,,20160402,45615,20160402,50933,20160402,53221,20160402,603047,20160402,64723,1318,12114,52,6,8,강원도,양구군,남면,,46,정중앙로452번길23,임야,산불,사유림,임야,산아래,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,27,5,0,0,2,0,0,20,5,맑음,0,0,,,
63,1.60402E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20160402,123600,20160402,123639,,,20160402,123728,20160402,124147,20160402,10414,20160402,132047,20160402,135747,419,3900,52,6,2,강원도,양구군,남면,,,,임야,산불,사유림,임야,산아래,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,건초,,,,62,5,13,4,20,0,20,0,5,맑음,20,21,225,4,
64,1.60402E+14,0,0,0,13730,강원소방본부,홍천소방서,양덕원119안전센터,서면119지역대,20160402,140000,20160402,140008,,,20160402,140112,20160402,140959,20160402,31156,20160402,154548,20160402,163613,847,13549,33,39,7,강원도,홍천군,서면,,67,,임야,산불,사유림,임야,평지,기타,불꽃/불티,용접/절단/연마,부주의,용접/절단/연마,종이/목재/건초등,풀/나뭇잎,,,,148,22,38,15,50,0,23,0,17,맑음,23,20,225,,
65,1.60402E+14,0,0,0,4400,강원소방본부,영월소방서,중동119안전센터,김삿갓119지역대,20160402,152400,20160402,152411,,,20160402,152513,20160402,153538,20160402,41038,20160402,165938,20160402,183038,1025,12400,12,12,7,강원도,영월군,김삿갓면,,203,,임야,산불,국유림,임야,산아래,자동차,마찰/전도/복사,마찰열/마찰스파크,기계적요인,과열/과부하,자동차/철도차량/선박/항공기,타이어,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),193,10,33,10,50,0,10,80,17,맑음,24,15,225,4,
66,1.60402E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20160402,163600,20160402,163655,,,20160402,163755,20160402,164049,20160402,45049,20160402,170049,20160402,180149,254,2000,52,6,2,강원도,양구군,남면,,47,,임야,산불,사유림,임야,산중턱,기타,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,건초,,,,73,5,13,5,20,0,30,0,2,맑음,21,23,225,4,
67,1.60403E+14,0,0,0,0,강원소방본부,평창소방서,평창119안전센터,방림119지역대,20160402,185700,20160402,185725,,,20160402,185818,20160402,190809,20160402,102533,20160402,231133,20160402,233145,951,40324,21,21,4,강원도,평창군,방림면,,1102,비네소골길95,임야,산불,사유림,임야,산아래,논/밭두렁,담뱃불/라이터불,라이터불/성냥불,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),335,10,40,15,150,0,100,20,14,구름조금,19,21,225,4,
68,1.60404E+14,0,0,0,220,강원소방본부,춘천소방서,화천119안전센터,,20160404,175000,20160404,175016,,,20160404,175116,20160404,181006,20160404,64406,20160404,190106,20160404,192506,1850,5100,33,8,0,강원도,화천군,하남면,,16,,임야,산불,사유림,임야,산중턱,입산자실화,미상,미상,미상,미상,쓰레기류,쓰레기,,,,46,5,0,2,28,7,4,0,9,맑음,16,50,135,4,
69,1.60406E+14,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20160406,51900,20160406,51919,,,20160406,51919,20160406,52627,20160406,64427,20160406,65527,20160406,70427,708,12900,42,6,0,강원도,화천군,하남면,,16,,임야,산불,국유림,임야,산중턱,기타,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,54,5,18,4,12,0,0,15,8,맑음,0,0,,,
70,1.60406E+14,0,0,0,0,강원소방본부,원주소방서,문막119안전센터,지정119지역대,20160406,151400,20160406,151410,,,20160406,151542,20160406,153123,20160406,35807,20160406,162829,20160406,171556,1541,5706,38,21,7,강원도,원주시,부론면,,179-8,,임야,산불,사유림,임야,산아래,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,풀/나뭇잎,,,,95,8,44,3,0,0,40,0,6,맑음,18,20,225,4,
71,1.60406E+14,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20160406,191200,20160406,191258,,,20160406,191354,20160406,193956,20160406,84137,20160406,205500,20160406,214812,2602,11504,24,24,20,강원도,홍천군,동면,,192-5,,임야,산불,사유림,임야,산아래,담뱃불,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,건초,,,,149,11,73,5,30,0,30,0,10,맑음,0,0,,,
72,1.60409E+14,0,0,0,0,강원소방본부,고성소방서,동광119안전센터,,20160409,153200,20160409,153241,,,20160409,153415,20160409,154250,20160409,41326,20160409,162627,20160409,163355,835,4337,8,9,0,강원도,고성군,죽왕면,,141,,임야,산불,사유림,임야,산중턱,기타,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,117,9,21,16,0,0,61,10,22,맑음,24,30,315,8,
